chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
14	54225001	54285000	14	54225001	54720000	495000	60000	6.392181640355642	96.0%	0.0010526315789473684	23.67229161417073
1	128805001	128845000	1	128340001	128845000	505000	40000	5.569342729228201	99.0%	0.011578947368421053	20.363805676905212
16	23970001	24015000	16	23970001	25075000	1105000	45000	3.0437816665148607	97.0%	0.003157894736842105	19.667073561302093
17	52445001	52470000	17	51785001	52470000	685000	25000	4.120395400336066	99.0%	0.004210526315789474	19.64756099558605
4	7840001	7870000	4	6680001	7870000	1190000	30000	2.78088244292458	95.0%	0.011578947368421053	18.867520423685182
7	128680001	128720000	7	128240001	128720000	480000	40000	6.294229290238044	99.0%	0.00631578947368421	17.82276843670901
9	33075001	33120000	9	32385001	33120000	735000	45000	4.312557462051139	99.0%	0.004210526315789474	17.70833810012607
5	105390001	105420000	5	105390001	105865000	475000	30000	5.890318996114549	99.0%	0.0010526315789473684	16.949022259472024
15	59385001	59415000	15	59385001	59865000	480000	30000	5.161638923275488	99.0%	0.003157894736842105	16.89455322833171
1	38990001	39025000	1	38990001	39390000	400000	35000	7.059729848295741	99.0%	0.0015789473684210526	15.297762661959709
4	10895001	10930000	4	10895001	11260000	365000	35000	7.591994712638397	99.0%	0.0010526315789473684	14.056688294296725
16	10555001	10595000	16	10555001	10870000	315000	40000	7.407848264678782	99.0%	0.004210526315789474	13.893883360337934
8	57775001	57820000	8	57435001	57820000	385000	45000	5.87320697604944	99.0%	0.01263157894736842	13.217005976773315
3	40510001	40555000	3	40510001	40840000	330000	45000	5.8158342388221795	95.0%	0.002105263157894737	13.071730743348587
4	144865001	144945000	4	144865001	145375000	510000	80000	5.4507880577003744	95.0%	0.004210526315789474	13.01380218558985
19	53390001	53425000	19	53390001	53645000	255000	35000	9.515756559968239	98.0%	0.003157894736842105	12.828693371649152
10	21985001	22025000	10	21105001	22025000	920000	40000	2.983411413070347	97.0%	0.03368421052631579	12.494419759067586
1	64430001	64465000	1	63655001	64465000	810000	35000	3.6614920321129314	97.0%	0.008947368421052631	12.248671763689845
11	116440001	116480000	11	116110001	116480000	370000	40000	8.889228641920466	98.0%	0.0010526315789473684	12.018137236158031
5	124575001	124625000	5	124575001	124875000	300000	50000	8.795093529268867	98.0%	0.0010526315789473684	11.978292547574464
18	56355001	56390000	18	56355001	56740000	385000	35000	5.881987744335715	98.0%	0.003157894736842105	11.570613854187235
7	73610001	73645000	7	73425001	73645000	220000	35000	9.846806576048166	98.0%	0.004210526315789474	11.295104610723854
6	71755001	71830000	6	71130001	71830000	700000	75000	4.4897792321027765	96.0%	0.007368421052631579	11.284312566510076
15	58940001	59000000	15	58940001	59380000	440000	60000	6.131523540279177	97.0%	0.003157894736842105	11.16400219941453
1	167205001	167240000	1	167205001	167410000	205000	35000	9.512996076390346	99.0%	0.0010526315789473684	11.160611274450208
1	182955001	182990000	1	182955001	183425000	470000	35000	4.508818957391284	98.0%	0.002631578947368421	10.899363354770854
7	102395001	102430000	7	102050001	102430000	380000	35000	6.501592823187416	96.0%	0.014210526315789474	10.770707805215725
14	51885001	51920000	14	51885001	52215000	330000	35000	5.888871536018636	98.0%	0.0036842105263157894	10.715472910628328
4	130530001	130580000	4	130190001	130580000	390000	50000	6.028832673040444	97.0%	0.002631578947368421	10.577648080411368
1	90635001	90670000	1	90635001	90965000	330000	35000	6.664727558964276	99.0%	0.002105263157894737	10.51879780868908
3	100935001	101015000	3	100935001	101500000	565000	80000	4.8130366268781115	96.0%	0.04105263157894737	10.280276435414946
9	45375001	45425000	9	44815001	45425000	610000	50000	4.988759438722933	98.0%	0.006842105263157894	10.204646851988269
X	166645001	166685000	X	166645001	167240000	595000	40000	1.8643239641661016	95.0%	0.06842105263157895	10.084562361568377
2	27270001	27305000	2	27270001	27560000	290000	35000	7.9953096253833005	99.0%	0.003157894736842105	10.04762482796807
X	103465001	103500000	X	103465001	103990000	525000	35000	1.7550429076090592	95.0%	0.0431578947368421	9.994323368573784
19	33210001	33245000	19	32700001	33245000	545000	35000	4.944348668508191	97.0%	0.09473684210526316	9.97642068159914
12	99075001	99135000	12	99075001	99965000	890000	60000	3.1785879132710915	97.0%	0.007368421052631579	9.831725858125505
1	166095001	166170000	1	165570001	166170000	600000	75000	4.460413188492094	98.0%	0.008421052631578947	9.707482938520792
2	173530001	173580000	2	172805001	173580000	775000	50000	3.9002206341431105	96.0%	0.009473684210526316	9.585569941180431
8	126570001	126600000	8	126570001	126930000	360000	30000	7.87811141492799	99.0%	0.011052631578947368	9.452488144199156
2	170100001	170140000	2	170100001	170350000	250000	40000	8.432542029944528	99.0%	0.004736842105263157	9.399265012494256
10	26860001	26910000	10	26305001	26910000	605000	50000	3.6298739834125557	98.0%	0.015789473684210527	9.271645948671734
3	52245001	52280000	3	52245001	53015000	770000	35000	3.3815640048241313	99.0%	0.01842105263157895	9.252874879803175
12	31955001	32010000	12	31955001	32250000	295000	55000	7.490180761893364	98.0%	0.004210526315789474	9.062594153083964
10	122535001	122575000	10	122535001	123160000	625000	40000	3.9980821174593846	98.0%	0.010526315789473684	9.01905551172709
9	123770001	123850000	9	123505001	123850000	345000	80000	8.283857561743408	97.0%	0.002105263157894737	8.91466518143239
19	9055001	9140000	19	8695001	9140000	445000	85000	5.467919719323387	95.0%	0.008421052631578947	8.880364548535029
17	30995001	31040000	17	30995001	31335000	340000	45000	6.730788008748476	98.0%	0.0036842105263157894	8.520937197978453
3	130055001	130095000	3	129810001	130095000	285000	40000	6.093490710803896	98.0%	0.01368421052631579	8.452027484847736
1	156045001	156110000	1	156045001	156890000	845000	65000	3.0837915635133863	95.0%	0.003157894736842105	8.351472561077719
10	8175001	8260000	10	7800001	8260000	460000	85000	4.8114433273773765	96.0%	0.01	8.340230509963545
5	105840001	105880000	5	105400001	105880000	480000	40000	5.063711538270945	96.0%	0.023157894736842106	8.29684701498463
12	110400001	110455000	12	110400001	110860000	460000	55000	4.597643169548395	99.0%	0.004210526315789474	8.256651872586945
1	88690001	88750000	1	88425001	88750000	325000	60000	7.059733792782553	97.0%	0.023157894736842106	8.108106895098613
15	66670001	66700000	15	66670001	66905000	235000	30000	9.141204091845944	99.0%	0.005263157894736842	8.101682731725433
8	69900001	69930000	8	69900001	70230000	330000	30000	6.929071817943444	96.0%	0.005789473684210527	8.070125689463074
14	55740001	55780000	14	55475001	55780000	305000	40000	6.399532118445166	98.0%	0.05368421052631579	8.054766765379208
14	118600001	118640000	14	118600001	118895000	295000	40000	6.191147108193891	99.0%	0.00631578947368421	8.042035837202215
2	103545001	103580000	2	103545001	103880000	335000	35000	6.861236977703692	99.0%	0.003157894736842105	7.954777351244013
1	177675001	177725000	1	176810001	177725000	915000	50000	3.071251489839021	97.0%	0.01368421052631579	7.946382412916559
4	94995001	95070000	4	94995001	95960000	965000	75000	2.8827743057554924	95.0%	0.018947368421052633	7.8620003520178
15	28160001	28200000	15	27560001	28200000	640000	40000	3.414339179932986	97.0%	0.008947368421052631	7.8013984059181025
9	41980001	42020000	9	41980001	42340000	360000	40000	6.408090435199919	97.0%	0.00631578947368421	7.785894550489678
2	172820001	172855000	2	172820001	173100000	280000	35000	7.926054874731974	99.0%	0.002631578947368421	7.678350727234358
8	124340001	124380000	8	123770001	124380000	610000	40000	5.197334998807986	98.0%	0.01842105263157895	7.6761364667565575
7	67755001	67820000	7	67755001	68345000	590000	65000	4.078261694203466	95.0%	0.007368421052631579	7.418998619932587
6	135360001	135420000	6	135070001	135420000	350000	60000	6.039568282469154	95.0%	0.04263157894736842	7.231362245496056
7	67220001	67270000	7	67220001	67640000	420000	50000	5.665161993682921	98.0%	0.004210526315789474	7.1264736205273636
1	157050001	157100000	1	156615001	157100000	485000	50000	4.974112493863273	97.0%	0.023157894736842106	7.105296725496396
