chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
1	3400001	3475000	1	3400001	3595000	195000	75000	7.072811680696504	95.0%	0.6473684210526316	-1.2479994953744373
1	3245001	3325000	1	3245001	3505000	260000	80000	4.828389133033663	95.0%	0.6178947368421053	-1.2191576906742467
1	3540001	3590000	1	3540001	3860000	320000	50000	4.075750433351869	95.0%	0.5794736842105264	-1.4330735426211243
1	4325001	4405000	1	4220001	4405000	185000	80000	5.584638914797895	95.0%	0.68	-1.1130126281743358
1	4375001	4460000	1	4375001	4620000	245000	85000	4.702777492337188	95.0%	0.6473684210526316	-1.539310415277438
1	3975001	4055000	1	3870001	4055000	185000	80000	6.3111410772678	95.0%	0.6821052631578948	-1.7611137193017565
1	3850001	3900000	1	3850001	3995000	145000	50000	7.332467088859933	95.0%	0.5768421052631579	-1.0754721791497304
1	3895001	3980000	1	3895001	4165000	270000	85000	5.041408268800199	95.0%	0.6478947368421053	-1.3703898786330089
1	5370001	5420000	1	5125001	5420000	295000	50000	4.563499525796223	95.0%	0.6526315789473685	-0.7795797347381747
1	5415001	5470000	1	5180001	5470000	290000	55000	3.5340803874106475	95.0%	0.6768421052631579	-1.9296091394387371
1	4985001	5020000	1	4760001	5020000	260000	35000	4.702678178517375	95.0%	0.6563157894736842	-1.377776195359448
1	5100001	5175000	1	4715001	5175000	460000	75000	2.756458325519486	95.0%	0.6726315789473685	-1.659718018866151
1	4695001	4775000	1	4505001	4775000	270000	80000	5.003891299463073	95.0%	0.6794736842105263	-1.2749333483842087
1	5025001	5105000	1	4800001	5105000	305000	80000	3.9870755125769337	95.0%	0.6768421052631579	-1.7847079786368027
1	5175001	5255000	1	4875001	5255000	380000	80000	3.1416815497428856	95.0%	0.6789473684210526	-1.6673195625027482
1	5335001	5375000	1	5125001	5375000	250000	40000	3.860689427437143	95.0%	0.6789473684210526	-1.8790410628082563
1	5675001	5740000	1	5355001	5740000	385000	65000	3.1428029153017034	95.0%	0.6757894736842105	-1.938933039881273
1	5735001	5795000	1	5355001	5795000	440000	60000	3.0028714492483597	95.0%	0.6699999999999999	-2.050251008506685
1	5440001	5495000	1	5440001	5770000	330000	55000	3.735512975630782	95.0%	0.58	-1.3996908132620527
1	5580001	5650000	1	5580001	6005000	425000	70000	3.3543596010281975	95.0%	0.5663157894736842	-1.697264583153341
1	6345001	6395000	1	6345001	6615000	270000	50000	4.687584158764183	95.0%	0.5115789473684211	-1.6401199898467622
1	5795001	5865000	1	5585001	5865000	280000	70000	3.7861268620110944	95.0%	0.6778947368421052	-1.8731044624228446
1	6505001	6550000	1	6235001	6550000	315000	45000	3.315933765735103	95.0%	0.6789473684210526	-2.194082525917607
1	6545001	6630000	1	6290001	6630000	340000	85000	3.7331103037928712	95.0%	0.6784210526315789	-1.7268779683956101
1	6625001	6690000	1	6290001	6690000	400000	65000	3.1464862497283543	95.0%	0.6768421052631579	-2.4554570167034213
1	6705001	6760000	1	6705001	6855000	150000	55000	8.107339612011195	95.0%	0.5678947368421052	-0.7804964497048479
1	7495001	7565000	1	7495001	7775000	280000	70000	3.8107902218592167	95.0%	0.64	-1.3838277598346709
1	6965001	7040000	1	6965001	7165000	200000	75000	6.340412245277553	95.0%	0.6373684210526316	-0.9724064605740916
1	7225001	7275000	1	6505001	7275000	770000	50000	1.889828760483402	95.0%	0.668421052631579	-3.199619987192724
1	6905001	6990000	1	6650001	6990000	340000	85000	3.763787440929706	95.0%	0.6768421052631579	-1.2765032060645585
