chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
X	72990001	73070000	X	72990001	73760000	770000	80000	4.130540685400372	98.0%	0.043	17.255159528554103
16	23960001	24030000	16	23960001	25080000	1120000	70000	10.696747915471034	99.0%	0.011	15.502972082487705
8	34780001	34860000	8	34090001	34860000	770000	80000	15.054472497830696	99.0%	0.032	15.318708702833037
9	33060001	33130000	9	32360001	33130000	770000	70000	14.40394556536605	99.0%	0.007	15.12253840681818
3	100920001	101010000	3	100920001	101840000	920000	90000	11.791191402164602	99.0%	0.0085	13.713095550499814
14	54200001	54290000	14	54200001	54690000	490000	90000	21.571911152490124	99.0%	0.003	13.463614401068003
4	144860001	144940000	4	144860001	145360000	500000	80000	19.63203422796962	99.0%	0.001	12.939916137512785
3	52170001	52260000	3	51280001	52260000	980000	90000	10.81341724112046	99.0%	0.11649999999999999	12.678231644909399
12	99060001	99140000	12	99060001	99970000	910000	80000	11.150788940343872	99.0%	0.021	11.5894832187154
X	13210001	13300000	X	13210001	13680000	470000	90000	8.056557487183765	98.0%	0.069	10.91300635014736
1	156040001	156120000	1	156040001	157100000	1060000	80000	10.198186847266593	95.0%	0.002	10.658733469131183
10	122520001	122610000	10	122520001	123190000	670000	90000	13.916965921285827	98.0%	0.007	9.758298777816814
10	8180001	8270000	10	7790001	8270000	480000	90000	18.54488956622778	99.0%	0.009	8.912950285049169
X	166640001	166710000	X	166640001	167260000	620000	70000	5.394171928002228	95.0%	0.0975	8.892014875691542
16	25030001	25100000	16	24030001	25100000	1070000	70000	9.152555712215957	99.0%	0.07	8.826975889676149
1	51580001	51650000	1	50920001	51650000	730000	70000	11.83128367551224	99.0%	0.009	8.14595625598112
12	110390001	110470000	12	110390001	111030000	640000	80000	13.142669901116587	99.0%	0.010499999999999999	8.125915959239927
8	122810001	122890000	8	122230001	122890000	660000	80000	17.069401612304635	99.0%	0.0115	8.001648732310398
7	67760001	67830000	7	67760001	68390000	630000	70000	14.639617402519297	99.0%	0.007	7.762159265687308
6	52240001	52330000	6	52240001	52980000	740000	90000	10.671891419236069	97.0%	0.0055	7.601637998135603
4	95000001	95080000	4	95000001	95930000	930000	80000	10.809751806596552	99.0%	0.023	7.534541989021744
12	76970001	77060000	12	76970001	77680000	710000	90000	13.092836443097822	99.0%	0.015	7.414127296608528
9	123780001	123870000	9	123440001	123870000	430000	90000	22.92146088686664	99.0%	0.008	7.362611430736537
8	25250001	25310000	8	25250001	25770000	520000	60000	16.53272320652715	99.0%	0.020999999999999998	7.16242322269225
14	44950001	45010000	14	44950001	45420000	470000	60000	13.87182208299964	99.0%	0.006	6.848254539454256
3	135690001	135760000	3	135270001	135760000	490000	70000	16.15224556225152	99.0%	0.064	6.8225905856240665
1	38970001	39040000	1	38970001	39540000	570000	70000	17.00603963536531	99.0%	0.012	6.769629686099982
1	166110001	166190000	1	165570001	166190000	620000	80000	13.729098042064551	98.0%	0.0125	6.7217009318415215
1	157040001	157120000	1	156630001	157120000	490000	80000	16.203461637170797	99.0%	0.052	6.483563721392057
X	106760001	106850000	X	106760001	107490000	730000	90000	4.228682713847586	96.0%	0.106	6.421629143518676
12	85310001	85390000	12	85310001	85730000	420000	80000	19.918815201317724	99.0%	0.006	6.415385761932893
3	40480001	40550000	3	40480001	41260000	780000	70000	8.966002340248556	97.0%	0.006	6.377209742358912
6	119450001	119540000	6	119450001	120010000	560000	90000	17.47888275199638	99.0%	0.0315	6.225815972686705
13	63290001	63380000	13	62890001	63380000	490000	90000	17.183415297810278	99.0%	0.024	6.16650241780212
6	51140001	51230000	6	51140001	52320000	1180000	90000	7.6328181980248155	96.0%	0.027	6.12964411853592
10	93020001	93110000	10	93020001	93570000	550000	90000	15.789497969101973	99.0%	0.038	5.8102028304603675
5	111380001	111440000	5	111380001	112050000	670000	60000	12.539756765130976	99.0%	0.014	5.598516870916281
11	116430001	116500000	11	116030001	116500000	470000	70000	24.03660056740402	99.0%	0.007	5.567339034976175
X	11590001	11680000	X	11590001	12520000	930000	90000	4.779895908835384	95.0%	0.162	5.460968719699045
13	46270001	46350000	13	46270001	46810000	540000	80000	15.462932971622505	99.0%	0.020499999999999997	5.435077905666448
1	182110001	182190000	1	182110001	182550000	440000	80000	15.156519746898642	99.0%	0.0085	5.319895229788169
8	128470001	128550000	8	127310001	128550000	1240000	80000	8.97188264785839	99.0%	0.071	5.292150868668796
9	71800001	71880000	9	71800001	72700000	900000	80000	13.419254555996922	98.0%	0.1395	5.2573996273051735
17	52420001	52490000	17	51760001	52490000	730000	70000	11.467461485703899	98.0%	0.028	5.183624844105082
1	106330001	106420000	1	105860001	106420000	560000	90000	13.071046120845216	99.0%	0.0175	5.081490012540487
2	102400001	102490000	2	101690001	102490000	800000	90000	12.67646755054778	99.0%	0.0345	5.042286125821977
7	67200001	67280000	7	67200001	67640000	440000	80000	18.296190266248672	99.0%	0.039	4.980382014842585
1	182930001	182990000	1	182930001	183660000	730000	60000	10.96699849044917	98.0%	0.008	4.8503567414018764
15	8580001	8660000	15	8000001	8660000	660000	80000	13.295289783013983	99.0%	0.0095	4.835301994504146
3	101790001	101880000	3	100830001	101880000	1050000	90000	9.185431735163775	98.0%	0.049	4.777737458894081
1	37240001	37320000	1	37240001	37670000	430000	80000	18.95144808921259	98.0%	0.012	4.557027286181326
17	80160001	80230000	17	79820001	80230000	410000	70000	19.86666098958457	99.0%	0.017	4.5168616817808465
X	50640001	50720000	X	50640001	51380000	740000	80000	3.8453447908935106	96.0%	0.129	4.499857283552753
4	63920001	63990000	4	63320001	63990000	670000	70000	11.727753285347164	99.0%	0.069	4.478055229818608
7	63720001	63780000	7	63720001	64640000	920000	60000	10.052356115075252	98.0%	0.018000000000000002	4.453978091320553
8	36320001	36380000	8	35840001	36380000	540000	60000	13.731098249827253	99.0%	0.051500000000000004	4.452528507433851
13	37280001	37360000	13	36100001	37360000	1260000	80000	7.874471057157411	98.0%	0.035	4.42332831391242
7	68310001	68400000	7	67660001	68400000	740000	90000	13.049408835871944	98.0%	0.02	4.332648524143095
13	102620001	102700000	13	101430001	102700000	1270000	80000	6.882901571926472	97.0%	0.031	4.33137934239498
10	42290001	42360000	10	42290001	42830000	540000	70000	13.043636047827123	99.0%	0.018500000000000003	4.321796385819748
1	143760001	143850000	1	143760001	144400000	640000	90000	11.291731659212088	98.0%	0.0125	4.319634880980892
7	49070001	49160000	7	48710001	49160000	450000	90000	16.319533292860065	98.0%	0.052	4.272304301478689
X	167250001	167340000	X	167250001	167970000	720000	90000	3.991911339168227	95.0%	0.1415	4.237638582258587
6	127100001	127190000	6	127100001	127630000	530000	90000	14.712404380372703	96.0%	0.011	4.228469088297454
2	173530001	173600000	2	172790001	173600000	810000	70000	12.967093403670802	98.0%	0.041	4.189447468039972
16	10850001	10920000	16	10850001	11410000	560000	70000	14.83080909383662	98.0%	0.014499999999999999	4.169663848823549
