chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr16	23970001	24010000	chr16	23970001	24935000	965000	40000	4.3078321971146165	97.0%	0.001	19.57164912362766
chr3	52240001	52280000	chr3	52240001	53015000	775000	40000	4.908524968766771	97.0%	0.003	15.51929984383961
chr1	128810001	128845000	chr1	128265001	128845000	580000	35000	7.049476384021953	98.0%	0.007	14.048832149902799
chr1	170885001	170915000	chr1	170885001	171110000	225000	30000	17.078704014993892	98.5%	0.001	11.367513730281106
chr14	54220001	54260000	chr14	54220001	54490000	270000	40000	11.89086285273818	97.5%	0.001	11.314496315350418
chr4	94995001	95060000	chr4	94995001	95940000	945000	65000	4.60447435384723	97.0%	0.006	11.268028877551151
chr10	43565001	43590000	chr10	43565001	43960000	395000	25000	9.606250211850751	99.0%	0.001	9.972555562579242
chr14	44965001	45005000	chr14	44965001	45255000	290000	40000	10.722377716622288	97.5%	0.0055	9.807875467899965
chr4	118990001	119025000	chr4	118990001	119225000	235000	35000	13.600016856115172	97.5%	0.001	9.656722519393623
chr2	90455001	90485000	chr2	90455001	90780000	325000	30000	12.723257242346305	98.5%	0.003	9.526621300416275
chr7	73610001	73650000	chr7	73425001	73650000	225000	40000	14.555482545145793	98.5%	0.001	9.479216484602896
chr14	20100001	20130000	chr14	20100001	20300000	200000	30000	14.296747536585803	99.0%	0.0045000000000000005	9.07578822371006
chr1	155020001	155055000	chr1	155020001	155285000	265000	35000	14.281864244868702	99.0%	0.002	9.017838246504395
chr4	57665001	57690000	chr4	57665001	57910000	245000	25000	14.611280583952531	99.0%	0.007	8.891850881414424
chr15	59385001	59420000	chr15	59385001	59865000	480000	35000	8.199792083780022	98.5%	0.0025	8.762358991490386
chr11	44580001	44620000	chr11	44580001	45365000	785000	40000	5.966688756431657	97.0%	0.002	8.584509316279858
chr10	40510001	40545000	chr10	40255001	40545000	290000	35000	12.465651885204872	97.5%	0.0155	8.475116811850702
chr4	133805001	133845000	chr4	133570001	133845000	275000	40000	14.59569828081659	97.5%	0.008	8.468378595966591
chr5	124070001	124105000	chr5	123920001	124105000	185000	35000	19.601236094983914	99.0%	0.009	8.38878576151193
chr6	129235001	129265000	chr6	128780001	129265000	485000	30000	8.319177147713598	98.0%	0.003	8.315940150744444
chr2	11320001	11350000	chr2	11320001	11585000	265000	30000	13.12423803398268	98.0%	0.006	8.198175802057147
chr7	66095001	66120000	chr7	66095001	66400000	305000	25000	12.902364073906734	97.5%	0.007	8.139815163482554
chr15	84600001	84645000	chr15	84200001	84645000	445000	45000	9.121991412784737	97.5%	0.012	7.957789932328653
chr10	94940001	94980000	chr10	94605001	94980000	375000	40000	9.511142309446873	97.5%	0.013	7.919396330321722
chr16	3245001	3290000	chr16	3080001	3290000	210000	45000	28.87961745671883	97.0%	0.001	7.889313386184387
chr13	51825001	51860000	chr13	51825001	52635000	810000	35000	5.753404485488855	97.0%	0.005	7.870128480871143
chr1	171800001	171850000	chr1	171800001	172125000	325000	50000	11.077716458904401	98.0%	0.003	7.852207435129891
chr3	14860001	14900000	chr3	14860001	15245000	385000	40000	8.640987741730578	99.0%	0.009	7.81004991376572
chr8	34055001	34120000	chr8	33755001	34120000	365000	65000	9.376249912916782	97.0%	0.001	7.764701098762066
chr18	24035001	24070000	chr18	24035001	24305000	270000	35000	12.016296761575552	98.5%	0.0125	7.523385962494459
chr3	142475001	142505000	chr3	142475001	142750000	275000	30000	11.404234192382077	99.0%	0.005	7.331656523304608
chr8	46925001	46960000	chr8	46645001	46960000	315000	35000	11.807549364665748	97.5%	0.031	7.3160863988895475
chr9	32580001	32615000	chr9	32580001	33105000	525000	35000	8.944080213201392	97.0%	0.002	7.291009881301514
chr1	177670001	177720000	chr1	176945001	177720000	775000	50000	5.173664843343293	97.5%	0.008	7.196836019230826
chr1	13485001	13545000	chr1	13035001	13545000	510000	60000	7.579697851378255	97.5%	0.009000000000000001	7.168093070799574
chr15	5230001	5265000	chr15	5230001	5680000	450000	35000	8.921832027231398	97.5%	0.001	7.061195054631202
chr16	30580001	30610000	chr16	30580001	31025000	445000	30000	8.522225638768926	97.5%	0.002	7.029552053277837
chr6	145815001	145880000	chr6	145815001	146295000	480000	65000	8.788637312953332	97.5%	0.0035	7.015329235689067
chr1	152510001	152555000	chr1	152510001	152775000	265000	45000	11.576240186550777	98.0%	0.005	6.8964477049651745
chrX	13205001	13245000	chrX	13205001	13695000	490000	40000	3.1473703603150827	97.5%	0.0455	6.7437562953239505
chr9	77800001	77835000	chr9	77800001	78080000	280000	35000	13.675057787741636	98.0%	0.0035	6.66795755704642
chr7	128675001	128715000	chr7	128405001	128715000	310000	40000	11.617080752830109	98.5%	0.0215	6.621381408964663
chr10	19160001	19205000	chr10	18915001	19205000	290000	45000	13.203401579338138	98.0%	0.006	6.507202406178952
chr8	57780001	57815000	chr8	57425001	57815000	390000	35000	7.868242125477051	97.5%	0.0205	6.440210584098605
chr3	40510001	40555000	chr3	40510001	40870000	360000	45000	8.102257526718843	97.0%	0.002	6.408598149479026
chr4	141550001	141595000	chr4	141380001	141595000	215000	45000	15.438230453152146	98.5%	0.018	6.372189265650121
chr11	22930001	22985000	chr11	22620001	22985000	365000	55000	13.09418614349908	97.5%	0.013	6.340355331011881
chr11	49065001	49120000	chr11	48780001	49120000	340000	55000	13.734383129431542	97.0%	0.001	6.305095925220554
chr8	90795001	90845000	chr8	90795001	91155000	360000	50000	9.375356442000559	97.0%	0.0035	6.294514859377719
chr4	10900001	10930000	chr4	10900001	11190000	290000	30000	12.451811239828809	97.5%	0.0025	6.215143778550176
chr14	70395001	70435000	chr14	70150001	70435000	285000	40000	11.132608894097459	98.5%	0.066	6.211950660542701
chr14	54045001	54085000	chr14	54045001	54535000	490000	40000	6.549738311223806	97.0%	0.004	6.199273162216465
chr3	131210001	131260000	chr3	130695001	131260000	565000	50000	6.280452190654126	97.0%	0.027	6.172378004426108
chr17	31000001	31035000	chr17	31000001	31320000	320000	35000	12.636076710324526	98.0%	0.002	6.168101059260684
chr4	144870001	144910000	chr4	144870001	145365000	495000	40000	8.066963087530603	97.0%	0.002	6.134402422595155
chr2	37760001	37790000	chr2	37540001	37790000	250000	30000	13.143450048569882	99.0%	0.0095	6.039311418468846
chr12	55060001	55095000	chr12	54855001	55095000	240000	35000	14.004377624189429	97.5%	0.0165	6.0322846355282715
chr8	107095001	107130000	chr8	107095001	107435000	340000	35000	10.643604184782072	97.0%	0.008	6.004793246159997
chr10	42270001	42310000	chr10	41810001	42310000	500000	40000	7.346170198788041	97.0%	0.011	5.996812156884035
chr12	78895001	78935000	chr12	78895001	79170000	275000	40000	12.62109335198778	97.0%	0.006	5.884106619802622
chr1	157050001	157100000	chr1	156730001	157100000	370000	50000	9.594046493164877	97.0%	0.0045000000000000005	5.853836899373309
chr3	133310001	133350000	chr3	133310001	133820000	510000	40000	5.950810951128192	97.0%	0.0035	5.783613051787664
chr15	58940001	58985000	chr15	58940001	59330000	390000	45000	9.615400113558733	97.0%	0.0025	5.775691464911887
chr10	95545001	95575000	chr10	95545001	95900000	355000	30000	9.995704037727092	98.0%	0.009	5.767508421454997
chr2	27220001	27255000	chr2	26990001	27255000	265000	35000	14.415714034411028	99.0%	0.025	5.738101527777356
chr14	64615001	64645000	chr14	64615001	64860000	245000	30000	11.4907232203458	98.5%	0.014	5.680709613492983
chr2	174295001	174330000	chr2	174295001	174910000	615000	35000	6.6128464988092395	97.0%	0.003	5.6643186811113315
chr15	25800001	25830000	chr15	25800001	25990000	190000	30000	17.13640584671388	98.0%	0.006	5.632312426095922
chr7	80115001	80160000	chr7	80115001	80380000	265000	45000	14.021987342953173	97.0%	0.003	5.616522278431682
chr15	62780001	62835000	chr15	62165001	62835000	670000	55000	5.33021675095507	97.0%	0.041	5.542478597098371
chr12	79595001	79655000	chr12	79595001	80085000	490000	60000	7.776017596143096	97.0%	0.0055	5.490864298139708
chr5	134485001	134520000	chr5	134485001	134715000	230000	35000	13.87217339157966	98.5%	0.004	5.4255050791205
chr6	135350001	135420000	chr6	135080001	135420000	340000	70000	9.41668758452235	97.0%	0.018000000000000002	5.421408618292114
chr7	127090001	127115000	chr7	126940001	127115000	175000	25000	18.502651260222336	99.0%	0.067	5.391170089114435
chr2	116885001	116915000	chr2	116885001	117250000	365000	30000	9.151803202366265	98.0%	0.021	5.35345297026983
chr3	121295001	121335000	chr3	121295001	121535000	240000	40000	11.90019710592163	98.0%	0.0155	5.344330597167824
