chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chrY	11285001	11315000	chrY	10645001	11315000	670000	30000	42.14533333333333	97.0%	0.0275	683.2633951445644
chrY	11520001	11550000	chrY	11520001	12370000	850000	30000	26.83227848101266	97.0%	0.051	312.25837303172597
chrY	18645001	18685000	chrY	18645001	19455000	810000	40000	26.05892857142857	97.0%	0.045	223.66076807964726
chr3	187725001	187765000	chr3	187725001	188975000	1250000	40000	86.9255	98.0%	0.001	152.1326906583957
chr16	86555001	86585000	chr16	86555001	87305000	750000	30000	159.78333333333333	99.0%	0.001	128.6723800802273
chr21	35825001	35865000	chr21	34700001	35865000	1165000	40000	79.60515021459227	97.0%	0.005	88.53301506670549
chr4	54215001	54245000	chr4	53315001	54245000	930000	30000	110.26702508960574	99.0%	0.002	88.03179435651501
chr2	216670001	216715000	chr2	216670001	217760000	1090000	45000	112.24770642201834	99.0%	0.002	69.70230329229213
chr12	52860001	52890000	chr12	52125001	52890000	765000	30000	143.49564270152504	98.0%	0.006	68.70314754886618
chr7	41685001	41730000	chr7	40515001	41730000	1215000	45000	70.18564243255601	98.0%	0.004	64.77808240906602
chr13	110095001	110140000	chr13	109015001	110140000	1125000	45000	87.50814814814815	97.0%	0.004	62.03157732709574
chr8	127720001	127755000	chr8	127720001	128690000	970000	35000	107.76656848306332	98.0%	0.002	58.17986950740588
chr5	74625001	74670000	chr5	73800001	74670000	870000	45000	101.51149425287356	99.0%	0.005	58.06871765316842
chr21	35920001	35960000	chr21	34670001	35960000	1290000	40000	61.724806201550386	97.0%	0.008	57.153290576061664
chrX	68815001	68860000	chrX	68815001	69295000	480000	45000	128.54050925925924	98.0%	0.016	56.039685281805745
chr16	86505001	86540000	chr16	85985001	86540000	555000	35000	208.27027027027026	99.0%	0.008	55.67786659169777
chr1	235065001	235110000	chr1	234475001	235110000	635000	45000	173.6360454943132	99.0%	0.007	54.67588494863933
chr8	29330001	29370000	chr8	29330001	30050000	720000	40000	150.44704861111111	99.0%	0.003	50.2344793167485
chr6	14190001	14235000	chr6	14190001	15490000	1300000	45000	74.50897435897436	97.0%	0.004	49.66556396469091
chr10	43660001	43705000	chr10	43660001	44390000	730000	45000	149.77473363774732	99.0%	0.003	49.48004181911079
chr16	34575001	34605000	chr16	34575001	36245000	1670000	30000	77.99047619047619	97.0%	0.004	49.17556256278311
chr2	19335001	19380000	chr2	18380001	19380000	1000000	45000	101.73944444444444	97.0%	0.003	47.5131616079121
