chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr1	860001	905000	chr1	860001	1470000	610000	45000	88.04098360655738	97.0%	0.9744999999999999	-4.106756237630746
chr1	1260001	1305000	chr1	1260001	1550000	290000	45000	251.0632183908046	97.0%	0.9305000000000001	-3.5008553691239968
chr1	3440001	3485000	chr1	2395001	3485000	1090000	45000	99.47936507936508	97.0%	0.998	-24.232863857740526
chr1	2125001	2170000	chr1	2125001	2375000	250000	45000	404.4533333333333	97.0%	0.9735	-4.868902738387567
chr1	3040001	3085000	chr1	2545001	3085000	540000	45000	136.94111111111113	97.0%	0.7364999999999999	-1.13643592688688
chr1	3270001	3300000	chr1	2535001	3300000	765000	30000	146.79885057471265	97.0%	0.901	-6.682280671154774
chr1	2400001	2445000	chr1	2400001	3445000	1045000	45000	109.9707020453289	97.0%	0.038	3.3066540438320193
chr1	2520001	2555000	chr1	2220001	2555000	335000	35000	341.8315565031983	97.0%	0.117	-0.89847310372439
chr1	1615001	1655000	chr1	1615001	1875000	260000	40000	153.66105769230768	97.0%	0.876	-1.2063628562154642
chr1	3100001	3135000	chr1	3100001	3400000	300000	35000	207.0095238095238	97.0%	0.958	-4.388171229732104
chr1	3400001	3445000	chr1	2505001	3445000	940000	45000	121.35617283950617	97.0%	0.118	4.970494348272118
chr1	2960001	3005000	chr1	2960001	3410000	450000	45000	115.06666666666666	97.0%	0.9255	-2.0915473737331083
chr1	3310001	3355000	chr1	2530001	3355000	825000	45000	141.32625619249822	97.0%	0.408	-6.634943318352353
chr1	3830001	3870000	chr1	3620001	3870000	250000	40000	297.185	97.0%	0.983	-1.5232388781144965
chr1	5460001	5500000	chr1	5460001	5975000	515000	40000	110.19902912621359	97.0%	0.958	-7.9728860227403615
chr1	5495001	5535000	chr1	5495001	6110000	615000	40000	106.28353658536585	97.0%	0.059	2.617397491305234
chr1	5935001	5980000	chr1	5935001	6275000	340000	45000	286.09640522875816	97.0%	0.972	-3.5380364424207733
chr1	6495001	6530000	chr1	6145001	6530000	385000	35000	286.3246753246753	97.0%	0.99	-6.174651482155997
chr1	5980001	6010000	chr1	5685001	6010000	325000	30000	309.7076923076923	97.0%	0.976	-1.8626967057249968
chr1	7205001	7235000	chr1	6525001	7235000	710000	30000	119.97769953051643	97.0%	0.055	2.259180321195284
chr1	7480001	7525000	chr1	7060001	7525000	465000	45000	233.27240143369175	97.0%	0.992	-19.71648962040883
chr1	6975001	7010000	chr1	6975001	7515000	540000	35000	158.8068783068783	97.0%	0.935	-5.027012524478341
chr1	6740001	6780000	chr1	6740001	7120000	380000	40000	193.19736842105263	97.0%	0.987	-12.967939716633127
chr1	7280001	7310000	chr1	6680001	7310000	630000	30000	142.20502645502646	97.0%	0.331	-2.742142425813661
chr1	7590001	7620000	chr1	6885001	7620000	735000	30000	114.56235827664399	97.0%	0.996	-36.631147356367975
chr1	8355001	8375000	chr1	7770001	8375000	605000	20000	155.5103305785124	97.0%	0.994	-21.198498565716704
chr1	6635001	6680000	chr1	6635001	7155000	520000	45000	165.01068376068375	97.0%	0.9595	-3.0089173685619537
chr1	7005001	7050000	chr1	7005001	7515000	510000	45000	172.45424836601308	97.0%	0.964	-5.888916727163039
chr1	8980001	9020000	chr1	8715001	9020000	305000	40000	306.8975409836066	97.0%	0.102	1.4954673579719973
chr1	8475001	8515000	chr1	8475001	8840000	365000	40000	147.5205479452055	97.0%	0.956	-3.703732551049325
chr1	8310001	8340000	chr1	8310001	8730000	420000	30000	205.7202380952381	97.0%	0.9695	-3.7278881261748373
chr1	8870001	8915000	chr1	8355001	8915000	560000	45000	130.1795634920635	97.0%	0.996	-7.559437369131986
chr1	9505001	9530000	chr1	9120001	9530000	410000	25000	187.19268292682926	97.0%	0.996	-20.374068638607444
chr1	9290001	9315000	chr1	8870001	9315000	445000	25000	199.9123595505618	97.0%	0.987	-4.986806738017943
chr1	8860001	8905000	chr1	8860001	9495000	635000	45000	128.3552055993001	97.0%	0.977	-8.813537249974667
chr1	8510001	8545000	chr1	8510001	8810000	300000	35000	200.2547619047619	97.0%	0.9744999999999999	-7.227187988785524
chr1	10880001	10920000	chr1	10400001	10920000	520000	40000	196.21394230769232	97.0%	0.996	-25.72284854176759
chr1	10550001	10595000	chr1	10550001	10925000	375000	45000	177.93185185185186	97.0%	0.986	-10.419466837608741
chr1	10350001	10385000	chr1	10025001	10385000	360000	35000	188.4047619047619	97.0%	0.9835	-3.0535391657134774
chr1	9865001	9900000	chr1	9865001	10420000	555000	35000	172.32432432432432	97.0%	0.083	0.43640994892685253
chr1	9895001	9940000	chr1	9895001	10420000	525000	45000	121.90899470899473	97.0%	0.986	-10.710052904607862
chr1	10500001	10525000	chr1	10160001	10525000	365000	25000	204.07945205479453	97.0%	0.979	-2.662155350602338
chr1	10110001	10150000	chr1	10110001	10360000	250000	40000	239.2575	97.0%	0.936	-2.247522192331514
chr1	10335001	10365000	chr1	10335001	10960000	625000	30000	103.27733333333333	97.0%	0.938	-3.5505133590985825
chr1	10380001	10415000	chr1	10115001	10415000	300000	35000	228.6	97.0%	0.978	-3.789220640036106
chr1	10410001	10445000	chr1	9880001	10445000	565000	35000	140.02528445006322	97.0%	0.424	-0.6615511400367778
chr1	9830001	9870000	chr1	9830001	10435000	605000	40000	173.49586776859505	97.0%	0.982	-7.672356456070709
chr1	10985001	11015000	chr1	10605001	11015000	410000	30000	163.3170731707317	97.0%	0.992	-4.817622233729027
chr1	11025001	11070000	chr1	11025001	11895000	870000	45000	103.6264367816092	97.0%	0.023	7.594499277656875
chr1	11800001	11825000	chr1	11210001	11825000	615000	25000	128.9121951219512	97.0%	0.957	-2.081936288424654
chr1	12210001	12230000	chr1	12210001	12660000	450000	20000	179.74166666666667	97.0%	0.9065000000000001	-3.558231601040129
chr1	11900001	11945000	chr1	11900001	12215000	315000	45000	256.0758377425044	97.0%	0.099	-0.356877584841018
chr1	11895001	11915000	chr1	11540001	11915000	375000	20000	184.82666666666665	97.0%	0.975	-3.8298105396744124
chr1	13220001	13255000	chr1	12620001	13255000	635000	35000	42.08622908622909	97.0%	0.106	0.5145887359001827
chr1	13650001	13680000	chr1	13400001	13680000	280000	30000	129.79166666666666	97.0%	0.9615	-0.5373984264658102
chr1	13100001	13130000	chr1	12680001	13130000	450000	30000	28.729957805907173	97.0%	0.4215	0.05535988764115401
