chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr1	5335001	5410000	chr1	5220001	5410000	190000	75000	10.856199512417271	97.0%	0.7024999999999999	-1.3628852030561986
chr1	7150001	7185000	chr1	6980001	7185000	205000	35000	12.060354316719158	97.0%	0.705	-1.6006231773173354
chr1	5800001	5870000	chr1	5715001	5870000	155000	70000	11.65851227398531	97.0%	0.705	-1.2535658958698548
chr1	6445001	6490000	chr1	6445001	6605000	160000	45000	11.539526071630442	97.0%	0.6234999999999999	-1.2041798158199122
chr1	7180001	7225000	chr1	6860001	7225000	365000	45000	7.137104896096192	97.0%	0.702	-2.0153094680328865
chr1	7930001	7995000	chr1	7815001	7995000	180000	65000	10.515855945073922	97.0%	0.705	-0.8537878575586432
chr1	6870001	6950000	chr1	6870001	7225000	355000	80000	6.71263647422466	97.0%	0.698	-2.7518700737573343
chr1	7205001	7255000	chr1	7205001	7355000	150000	50000	12.429560054502925	97.0%	0.5905	-0.9150393142177408
chr1	9165001	9230000	chr1	9070001	9230000	160000	65000	11.961880180268203	97.0%	0.705	-0.814560549327466
chr1	9700001	9740000	chr1	9700001	10045000	345000	40000	8.07625303988327	97.0%	0.7	-5.901259671330619
chr1	10710001	10780000	chr1	10575001	10780000	205000	70000	9.191010057164169	97.0%	0.705	-1.1675571512169347
chr1	13130001	13170000	chr1	13130001	13490000	360000	40000	7.753940407912007	97.0%	0.057999999999999996	0.4429857732714464
chr1	13780001	13845000	chr1	13780001	14725000	945000	65000	3.9110710238478004	97.0%	0.373	-2.8538450965253452
chr1	16610001	16665000	chr1	16430001	16665000	235000	55000	11.443437350787583	97.0%	0.705	-2.8405898048431886
chr1	16660001	16705000	chr1	16430001	16705000	275000	45000	10.909062003332917	97.0%	0.705	-3.0915272752197627
chr1	16700001	16770000	chr1	16510001	16770000	260000	70000	9.534683609973483	97.0%	0.704	-2.756083051140435
chr1	16765001	16815000	chr1	16605001	16815000	210000	50000	10.289548467362199	97.0%	0.706	-2.1679285865568088
chr1	15885001	15950000	chr1	15885001	16010000	125000	65000	13.383151575014853	97.0%	0.647	-1.299519190674852
chr1	15945001	15975000	chr1	15945001	16135000	190000	30000	8.747421221064329	97.0%	0.577	-1.140060997443762
chr1	17520001	17590000	chr1	17405001	17590000	185000	70000	10.256638080319926	97.0%	0.705	-1.0115390083110702
chr1	18855001	18910000	chr1	18775001	18910000	135000	55000	12.572672358636822	97.0%	0.706	-1.3899712994681261
chr1	18905001	18960000	chr1	18820001	18960000	140000	55000	12.772903426291782	97.0%	0.706	-1.0261809229621162
chr1	20155001	20225000	chr1	20070001	20225000	155000	70000	12.324245260078792	97.0%	0.705	-0.6945018683987538
chr1	20025001	20100000	chr1	19865001	20100000	235000	75000	8.571722042091903	97.0%	0.704	-1.0207070641219806
chr1	20225001	20310000	chr1	20140001	20310000	170000	85000	10.038933485845234	97.0%	0.7015	-0.7578895064051241
chr1	20305001	20345000	chr1	20195001	20345000	150000	40000	10.463668414270366	97.0%	0.7055	-0.786751079554663
chr1	19815001	19870000	chr1	19815001	20010000	195000	55000	9.240727280146514	97.0%	0.656	-1.2181519765152473
